yyyy/mmdd(or -ddd)/hh.h):2008/ 101/12.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 536845.4   NmF1= 244579.9   NmE= 143245.0
Peak Heights/km:     hmF2=   275.16   hmF1=   184.20   hmE=   110.00

Solar Zenith Angle/degree                               2.2
Dip (Magnetic Inclination)/degree                     -57.93
Modip (Modified Dip)/degree                           -46.73
Solar Sunspot Number (12-months running mean) Rz12      4.5           
Ionospheric-Effective Solar Index IG12                 -5.5           
Solar radio flux F10.7 (daily)                         76.7           
Solar radio flux F10.7 (81-day average)                72.9           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.7  66
  60.0      -1 -1.000   247   247   247  -1  -1  -1  -1  -1  -1  -1  15.7  66
  65.0      86  0.000   232   232   232  -1  -1  -1  -1  -1  -1  -1  15.7  66
  70.0     231  0.000   218   218   218  -1  -1  -1  -1  -1  -1  -1  15.7  66
  75.0     408  0.001   207   207   207  -1  -1  -1  -1  -1  -1  -1  15.7  66
  80.0     557  0.001   205   205   205   0   0   0   0   4 996  -1  15.7  66
  85.0    1171  0.002   205   205   205   0   0   0   0   9 991  -1  15.7  66
  90.0   12373  0.023   198   198   198   0   0   0   0  89 911  -1  15.7  66
